ori,,ANB,ACC,CC,QCS,SCS,LCC,GCC,DDC,ANB_G,SP,SP-small
our,rate_10,2,7,,1,4,7,3,,5,5,6
SRW,rate_10,1,4,,4,5,2,5,,4,7,4
ISRW,rate_10,3,5,,2,7,6,2,,3,4,7
RJ,rate_10,5,2,,7,1,3,7,,7,2,2
RNS,rate_10,6,3,,5,2,4,6,,6,3,3
RES,rate_10,7,1,,6,3,1,4,,1,1,1
TIES,rate_10,4,6,,3,6,5,1,,2,6,5
our,rate_15,2,7,,1,5,7,3,,5,5,6
SRW,rate_15,1,4,,5,4,2,5,,3,7,4
ISRW,rate_15,3,5,,2,7,6,1,,4,4,7
RJ,rate_15,6,2,,7,2,4,6,,7,2,2
RNS,rate_15,7,3,,4,1,3,7,,6,3,3
RES,rate_15,5,1,,6,3,1,4,,1,1,1
TIES,rate_15,4,6,,3,6,5,2,,2,6,5
our,rate_20,3,7,,1,5,7,3,,5,5,6
SRW,rate_20,1,4,,5,4,2,5,,3,6,5
ISRW,rate_20,5,5,,2,7,5,2,,4,4,7
RJ,rate_20,6,3,,7,2,4,6,,6,3,3
RNS,rate_20,7,1,,4,1,3,7,,7,2,2
RES,rate_20,2,2,,6,3,1,4,,1,1,1
TIES,rate_20,4,6,,3,6,6,1,,2,7,4
our,rate_25,3,7,,1,5,7,3,,5,5,6
SRW,rate_25,1,4,,5,4,2,5,,3,6,5
ISRW,rate_25,5,5,,2,7,5,2,,4,4,7
RJ,rate_25,7,1,,7,1,4,6,,7,2,2
RNS,rate_25,6,2,,4,2,3,7,,6,3,3
RES,rate_25,2,3,,6,3,1,4,,1,1,1
TIES,rate_25,4,6,,3,6,6,1,,2,7,4
our,rate_30,3,7,,1,5,7,3,,5,5,6
SRW,rate_30,1,4,,5,4,2,5,,4,6,5
ISRW,rate_30,5,5,,3,7,6,2,,3,4,7
RJ,rate_30,7,1,,7,1,3,6,,7,2,2
RNS,rate_30,6,2,,4,2,4,7,,6,3,3
RES,rate_30,2,3,,6,3,1,4,,1,1,1
TIES,rate_30,4,6,,2,6,5,1,,2,7,4
our,rate_35,3,7,,1,5,7,4,,5,5,6
SRW,rate_35,1,5,,5,4,2,5,,3,6,5
ISRW,rate_35,5,4,,4,7,5,2,,4,4,7
RJ,rate_35,6,2,,7,2,3,7,,6,3,3
RNS,rate_35,7,1,,3,1,4,6,,7,2,2
RES,rate_35,2,3,,6,3,1,3,,1,1,1
TIES,rate_35,4,6,,2,6,6,1,,2,7,4
our,rate_40,3,7,,1,5,7,4,,5,5,6
SRW,rate_40,2,6,,5,4,2,5,,4,6,5
ISRW,rate_40,5,4,,2,7,5,3,,3,4,7
RJ,rate_40,6,2,,7,2,4,7,,7,2,2
RNS,rate_40,7,1,,4,1,3,6,,6,3,3
RES,rate_40,1,3,,6,3,1,1,,2,1,1
TIES,rate_40,4,5,,3,6,6,2,,1,7,4
our,rate_5,2,7,,1,4,7,3,,5,5,6
SRW,rate_5,1,4,,4,5,4,5,,4,7,4
ISRW,rate_5,4,5,,2,7,5,1,,3,4,7
RJ,rate_5,6,1,,7,2,2,7,,7,2,2
RNS,rate_5,7,2,,5,1,3,6,,6,3,3
RES,rate_5,5,3,,6,3,1,4,,1,1,1
TIES,rate_5,3,6,,3,6,6,2,,2,6,5
